,Ids,Result
0,78886,451614.3470217465
1,35987,18365.39908923286
2,63576,-541786.4609684062
3,86537,-3462079.820417949
4,45235,479031.2751656877
5,87333,-393340.79230084136
6,94152,101171.9907217392
7,31129,-513128.0780932926
8,52019,93105.44370741854
9,74987,-457591.8754512657
10,60601,-30693.543334657414
11,48864,-151460.01061846293
12,56839,-538109.0717241601
13,92351,2030254.8232933138
14,53691,509401.5518136159
15,56277,8456977.309447464
16,47415,-473348.4667319369
17,89925,-240106.40130202298
18,27912,892126.4583058353
19,33156,509961.4328293783
20,21957,86353.13572314478
21,22618,-13193767.880325971
22,23157,231691.20737295566
23,46659,-192890.1619470018
24,55763,379810.11738839943
25,56057,-402028.4902001758
26,39322,403878.6033889597
27,68624,364366.98116613075
28,73726,-1939082.6408384854
29,95124,1358381.9892044629
30,65775,45062.12135729336
31,53215,-536645.6433501681
32,36737,-220667.24467819708
33,27447,-1191620.5634789711
34,80796,-235157.5767892138
35,40388,-610855.1828428713
36,26922,1616380.8613941148
37,81620,-573216.8078964935
38,26278,147017.8745349993
39,53469,-3772842.9597196016
40,77087,-461247.3207796569
41,85244,889839.4451587176
42,63105,453764.6687243909
43,78427,-1139039.0879726447
44,97984,-1983341.012278311
45,28980,620677.5133793356
46,73855,-2552017.163973425
47,47591,-527679.1420760044
48,57106,-614228.9699312111
49,47500,-583054.4350314777
50,44835,316983.25972238823
51,90757,35666.12196560657
52,97176,-331709.8438825789
53,41537,310109.8685061379
54,22956,415616.9008952899
55,95701,-203613.9370590456
56,67922,2514101.6740169236
57,24559,-490455.1775336357
58,73761,873992.7594334532
59,39147,-304100.38063296047
60,46094,-34357596.724491864
61,52770,4009358.8866119343
62,31661,-515811.9594183148
63,23741,-434664.49464941677
64,64853,-342262.5817029111
65,72773,504974.34361193894
66,57769,-2467066.89552545
67,49782,21239264.705463976
68,89731,223191.48316059116
69,41818,269827.7840494766
70,46504,-256201.28384240088
71,86919,-469994.29925217223
72,73880,-535319.0981209746
73,51783,-496612.93044878443
74,90591,-446778.8222265227
75,39665,1720523.8001015545
76,41250,-587490.7723328137
77,87620,-348593.9665484843
78,37381,-242397.4847800239
79,67635,-556741.7951155424
80,84260,338049.9246423355
81,92796,-516486.5071746794
82,35309,232478.7866836866
83,76981,-472599.81159096106
84,76980,-13576577.66499086
85,26980,-276658.6044295316
86,25198,-21537.686476744224
87,27096,260807.15231122478
88,48315,265016.7560926594
89,93000,540570.4753403562
90,85031,339336.8598000207
91,38845,160028.32291972428
92,45388,531117.9112151766
93,42315,441290.0665888707
94,43054,-541260.3400237977
95,90803,-606681.5355975343
96,38264,-88247.52699575592
97,47426,448440.26395178994
98,85706,393073.5687733021
99,27661,483653.3419973611
100,86289,-57684.63509295759
101,55925,417084.7013249006
102,87075,-552540.0252148465
103,99203,545824.3342228795
104,71403,111290.56048559694
105,29700,-530661.8578764484
106,47681,299269.93519751955
107,76007,105382.76339852903
108,42032,493018.1401114037
109,95819,-61111.509449387704
110,52726,202271.09670115224
111,95064,-56584.091341436055
112,78634,-335955.669717769
113,77593,-469840.86770474154
114,71170,67974.82378940281
115,32468,236435.93265519783
116,62134,-596125.5054752687
117,82228,17267264.8671476
118,79309,-376352.6722189441
119,31987,-2453259.7775550922
120,52395,-429683.76484944916
121,34413,-508015.9768311421
122,91137,564725.2331444777
123,88937,-250742.70042479452
124,57600,-414645.719729095
125,24284,-613069.9659918398
126,26874,10981068.224617044
127,41084,-3563908.7917646687
128,86402,-2119304.1031451523
129,52220,2635014.804171884
130,30865,-579951.7500710449
131,40062,366495.2123465957
132,65939,286946.3160236004
133,48491,198638.71823916532
134,83125,-211481.323728783
135,71954,517506.9332826601
136,65389,135027.08216552198
137,60570,447334.52130991215
138,33950,-255956.49890742588
139,78029,390332.12105721794
140,28828,1337813.9097999637
141,40519,590207.3181018003
142,38205,-512582.6719404798
143,22323,478404.28320063325
144,91732,-536373.7314018565
145,46383,-398281.0903262048
146,23989,-486594.7397477188
147,92517,370941.1288130298
148,86893,193418.2427506107
149,34037,582646.467846507
150,36721,854401.0386901249
151,55718,366125.88649745635
152,73664,615231.6642618577
153,44305,515043.39722449245
154,50644,19361423.576472167
155,42308,500058.9576263884
156,40328,605971.0144808997
157,92095,-590327.0925206323
158,64895,-561032.8619129201
159,21436,-391279.3325657884
160,54725,457827.5736924228
161,75954,-431340.10979885084
162,86262,554916.7303755613
163,70321,317718.6616383059
164,36826,-11745717.260557966
165,29631,-335488.2403123352
166,55203,441239.47975556436
167,72651,-520044.07780285546
168,59643,-180951.07027868787
169,36427,160374.452814408
170,24271,-10757308.972579043
171,21634,-513527.04299885774
172,93873,652016.2515369233
173,21139,-427009.7812891031
174,81315,-282084.07283130987
175,59278,-249617.1995411792
176,31904,-526379.3506223016
177,51616,500800.0372907111
178,38957,421088.94509581564
179,98224,-386708.4220624773
180,37343,336860.06123232865
181,84395,452370.85461197415
182,68693,-551839.6987386881
183,59973,-355174.1440689735
184,64032,280900.5267838502
185,88941,-428058.107029582
186,87880,-542361.4134446296
187,30717,10484924.312973652
188,57926,11334307.349222468
189,59284,339765.9939098557
190,65340,300426.0890331867
191,37862,-626468.9881136208
192,42885,-498338.2558063528
193,95106,-189460.9180155033
194,99473,594012.740275402
195,22879,599953.0359010148
196,41073,533883.116345732
197,94434,559412.2457122206
198,55059,553148.717664776
199,83598,-596766.671924835
200,29912,-206819.35967293233
201,48165,-531175.53040515
202,64884,46091.00482449886
203,20118,-361139.7636090629
204,78508,58765.099883132236
205,69314,531232.5690341219
206,87485,467679.6685679836
207,64992,-274064.81246008934
208,39849,384634.45947972935
209,21022,203960.71621563486
210,95448,1637015.4084285942
211,77765,-479227.35029817926
212,95003,500903.0286158881
213,24129,342810.6572891277
214,58213,-372246.94319037127
215,74920,148241.79853870955
216,70348,628420.1878829589
217,83980,583403.8297235826
218,72123,-404055.10257447377
219,55316,-403206.21199526626
220,24286,-339653.52141180594
221,85458,-581065.7170356368
222,56367,-437058.47777364275
223,69616,-548060.6592799417
224,82918,-1042310.9415624988
225,80307,-152866.86073873955
226,86689,547303.7395622975
227,87439,586881.308396546
228,57828,4629249.60886264
229,63205,216154.68922467183
230,77009,-420630.16821734514
231,34002,-556014.7001551214
232,42798,864909.5099170919
233,36091,-464317.81852656056
234,64167,-165704.27454650233
235,37768,609744.2210479334
236,55818,549001.6613597943
237,85432,237783.10604957066
238,35786,-506428.8085242604
239,88975,604830.427320512
240,52913,-133570.53484735946
241,78318,-119340.3420075932
242,34106,383916.09516998776
243,98891,203575.5832392694
244,60048,634294.520106739
245,65926,-253578.95523084022
246,86704,515340.7694189509
247,68137,480675.4946533175
248,68753,-146435.08275362762
249,25344,248304.58400217284
250,73384,486277.0129467688
251,76016,20213.1003123797
252,43399,342508.54084048007
253,85611,-3440452.664243115
254,31491,-513020.54700101004
255,92736,-528002.3424354349
256,64571,118357.55761708878
257,46149,-199067.29777894868
258,38766,259129.0270479825
259,41954,-533532.1337126679
260,98723,92633.60583899856
261,39199,212853.42594567462
262,70606,6575.002899843523
263,72649,7194731.57192111
264,90341,228613.88111941228
265,72304,-349118.6268807333
266,31353,301585.46508318983
267,64366,-6168.950361156807
268,79335,24965.709142084437
269,43477,328747.1083970338
270,48658,-370600.6968700259
271,38055,-451836.08797313226
272,38616,547857.5026515031
273,34427,4030664.372192444
274,50513,-154201.89147435347
275,95317,173676.1155460249
276,40030,1906479.844464294
277,75311,441012.3079677715
278,60921,-13211824.749784688
279,36691,-527618.4400066981
280,60410,-432525.8568435303
281,84783,337739.24325501354
282,83110,-528212.756103183
283,38127,275172.64440166496
284,24749,-1123472.4427513403
285,59270,8179681.431211323
286,74147,621544.972451369
287,92654,565607.8837000027
288,22250,-211071.33173258387
289,68558,-43874.576285934505
290,98213,537457.4432861663
291,64402,250096.26930321462
292,32359,550883.1762907624
293,39253,554401.5207874485
294,38412,-444587.52256315737
295,76568,26003.252762374832
296,56109,309945.11863395065
297,91499,507252.3069855638
298,47675,4439154.463984992
299,97743,-459804.43134076113
300,54497,592007.52003687
301,31628,503007.1733477199
302,62997,84820.43250043169
303,41500,368565.0150206214
304,67832,-435876.2674260376
305,88159,-325332.7979801658
306,58149,138513.24615876394
307,72485,-557029.7086684768
308,24669,-350080.3427193226
309,51601,-79393.6047736238
310,78431,219228.87298566743
311,99493,436089.05446712143
312,78261,-90931.08505913234
313,20476,578165.0753361346
314,82735,-7033589.819020592
315,55749,409465.09074276336
316,36333,558540.7983918643
317,51306,-516736.34102241456
318,24105,114738.90195158502
319,42349,268578.9758466015
320,87458,92923.63342520129
321,58029,-469661.9946890508
322,81459,-552817.3746473021
323,26213,556169.6660565438
324,29659,-30182.784829950935
325,51954,-1009826.4592417325
326,81437,532230.8116781543
327,46460,162907.46608823747
328,49076,497009.45461507625
329,27607,422562.4223168125
330,43797,-51143.588781066035
331,49762,-81932.6665162119
332,58609,6143697.292663617
333,53677,-478948.7183670111
334,47295,11812465.211961273
335,89254,512970.74119612755
336,56435,-927296.120727147
337,72554,1980521.7211389616
338,95363,200302.7603334231
339,57127,1989865.0234972744
340,82018,535543.1255367429
341,64601,464111.3860412069
342,28927,3394623.172801287
343,40074,564799.1370355057
344,41917,-556444.974786401
345,53998,-153418.8783495503
346,79328,548288.8026711697
347,83347,-590846.9738298677
348,46466,-312441.57810452883
349,61109,-348495.99072646716
350,88334,-1698038.588814027
351,65721,-494194.4521344113
352,84515,-11377.007032991125
353,24346,3724.86922308059
354,92882,1248975.1684144035
355,60407,-75202.66487071557
356,48277,-465749.50400499214
357,20095,324058.72582314734
358,58156,483020.42602217884
359,52362,177996.9453454906
360,96243,-253196.80463689382
361,81212,864981.7437663958
362,68680,-416627.590286047
363,40874,546726.7708899587
364,46565,-170125.65999949077
365,69069,94397.3433149794
366,41593,-1403426.3271717338
367,64866,-394492.40653226123
368,21409,20119140.644084178
369,21940,533205.2755894063
370,59262,-477897.9212487094
371,41446,2243139.918613532
372,75285,-819576.0193738805
373,43391,434975.09758273803
374,62221,647443.8239954044
375,36913,-342551.0276415858
376,84237,560179.3910456463
377,35384,613617.2525225981
378,34044,257821.96985404976
379,55024,555374.7179709405
380,53852,571498.2012256689
381,52589,-494495.06672003394
382,44129,524394.0048487409
383,28100,14586521.850856962
384,29875,-445448.80452483724
385,69528,-910967.3293585698
386,21443,447139.2506229559
387,55628,7013.844092324944
388,62233,-10322.092465141395
389,57633,353099.9607848761
390,67929,-718502.2056556012
391,25411,426281.03859562986
392,78781,315056.2040895087
393,35545,243318.53830653714
394,72787,536522.0395562297
395,56594,-3252134.0585946226
396,93969,-779136.7368857587
397,63284,519885.3904809472
398,71067,464523.2971437189
399,33317,-520858.52472365263
400,98172,-302775.8443145545
401,53361,-225033.13150536505
402,52869,-422022.95760969934
403,93922,514843.8950594154
404,41135,-238216.92981471313
405,74952,496721.9588279771
406,89211,527778.976755704
407,41200,520498.9547175377
408,35925,209963.63359680717
409,37825,-204475.88819209475
410,97234,-501842.58855021815
411,29834,-624135.04914961
412,70026,1634660.276292627
413,91060,-277699.70394664287
414,62120,-125464.96589603054
415,29112,-174330.61076038814
416,31461,520956.493945283
417,78740,-1400225.368857018
418,55054,-573462.4232730673
419,60981,-217664.52881106484
420,43244,482754.1293404653
421,58145,5391291.79448194
422,60117,377128.321551859
423,45943,395700.38615387125
424,87893,-570190.6043767286
425,40506,-62996.1763974244
426,72566,-549058.8102207914
427,24613,-2696085.435119828
428,66490,-408071.1593810645
429,87096,-24375.50209401887
430,43190,-364255.5117334857
431,75405,-149676.37280041305
432,96287,559867.8439303903
433,75310,-112527.97006221977
434,73241,-92498.8821645402
435,84278,-179663.95185567034
436,76614,-106415.05300720021
437,98329,-4040957.237755287
438,54562,-156367.38329235732
439,48447,521810.35494077863
440,91539,-386595.51572972233
441,46593,-366828.4237465555
442,34241,459996.359723536
443,75234,-528546.9855462678
444,47262,251734.88104973335
445,33753,233639.81932394055
446,62940,-195707.96328801187
447,31826,-7257826.2744463775
448,48485,559109.0146004685
449,30770,504383.25326686463
450,31880,8137559.074114083
451,94451,486059.25941508426
452,78617,-599005.7951799813
453,71035,-5408138.076676207
454,54300,-142857.85507384315
455,85644,9577.834235938353
456,40430,-510742.84472567786
457,60420,-472224.5447270995
458,56957,2957577.9079956994
459,81481,-393004.11783512996
460,81698,-525779.7213406812
461,78140,-122664.46863204573
462,83164,225808.6752792781
463,75499,431165.8307104842
464,75046,-452602.96499161806
465,43047,-411510.9464624004
466,27642,556539.6835282482
467,26958,-323058.5545108552
468,49720,-156442.36960002623
469,66990,-213044.2640804613
470,37878,479917.28459135816
471,63508,192690.68035905735
472,61888,62627.8406754717
473,56661,-237730.2362056265
474,33923,-170380.5368821506
475,42070,185503.95290869428
476,58333,-563069.4025859005
477,91441,429598.82925869327
478,48461,-2122227.7032944877
